timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-04-08 13:45:00,2,999067.74,360.47,999788.68,2.06
2025-04-08 14:45:00,3,998709.31,359.24,999787.015,2.415
2025-04-08 15:15:00,4,998355.68,355.09,999776.04,5.84
2025-04-09 09:30:00,5,998002.3,357.25,999788.525,19.325
2025-04-09 10:00:00,6,997643.22,361.03,999809.43,11.73
2025-04-09 10:15:00,7,997283.41,361.24,999812.055,9.975
2025-04-09 11:00:00,8,996925.79,358.82,999796.35,9.6
2025-04-09 11:30:00,9,996566.31,360.76,999813.15,11.52
2025-04-09 12:15:00,0,999848.82,363.99,999848.82,-0.0
2025-04-10 10:45:00,1,999469.65,379.71,999849.355,0.535
2025-04-10 11:30:00,2,999093.65,376.99,999847.62,1.97
2025-04-10 12:00:00,3,998720.86,373.89,999842.53,3.3
2025-04-10 12:30:00,4,998351.22,371.56,999837.48,7.7
2025-04-10 13:15:00,5,997981.97,371.77,999840.82,12.6
2025-04-10 13:30:00,6,997608.66,374.37,999854.88,6.36
2025-04-10 13:45:00,7,997234.34,375.7,999864.24,9.66
2025-04-10 14:15:00,8,996860.5,376.75,999874.54,23.32
2025-04-10 14:30:00,9,996482.72,379.23,999895.79,13.05
2025-04-10 15:00:00,0,999923.99,380.31,999923.99,-0.0
2025-04-11 11:45:00,1,999538.93,385.65,999924.585,0.595
2025-04-11 12:15:00,2,999153.12,386.52,999926.17,1.43
2025-04-11 12:45:00,3,998766.18,387.4,999928.395,1.395
2025-04-11 13:00:00,4,998380.0,386.84,999927.36,2.64
2025-04-11 13:45:00,5,997992.17,388.88,999936.595,5.275
2025-04-11 14:00:00,6,997604.61,388.38,999934.92,4.95
2025-04-11 14:15:00,7,997217.26,387.89,999932.49,3.78
2025-04-11 14:30:00,8,996828.85,389.03,999941.09,4.96
2025-04-11 14:45:00,9,996440.85,388.77,999939.825,6.975
2025-04-11 15:00:00,0,999944.53,388.65,999944.53,-0.0
2025-04-11 15:15:00,1,999556.3,388.68,999944.975,0.445
2025-04-11 15:30:00,2,999168.45,388.52,999945.49,1.34
2025-04-14 09:30:00,3,998777.55,391.94,999953.385,3.135
2025-04-14 09:45:00,4,998386.9,391.44,999952.64,3.14
2025-04-14 10:15:00,5,997995.39,392.34,999957.065,4.125
2025-04-14 10:30:00,6,997603.12,393.07,999961.57,4.83
2025-04-14 11:15:00,7,997214.4,389.62,999941.705,6.265
2025-04-14 11:30:00,8,996826.48,388.81,999936.96,7.12
2025-04-14 12:00:00,9,996441.81,385.92,999915.045,11.205
2025-04-14 12:15:00,0,999924.88,386.14,999924.88,-0.0
2025-04-14 13:30:00,1,999539.2,386.19,999925.395,0.515
2025-04-14 14:00:00,2,999151.28,388.29,999927.86,0.74
2025-04-14 14:15:00,3,998763.29,388.31,999928.235,0.975
2025-04-14 14:30:00,4,998374.98,388.51,999929.02,0.8
2025-04-14 14:45:00,5,997986.88,388.46,999929.155,1.775
2025-04-14 15:15:00,6,997597.49,389.79,999936.23,2.4
2025-04-14 15:30:00,7,997208.62,389.26,999933.475,2.765
2025-04-15 09:30:00,8,996820.49,389.96,999940.17,14.64
2025-04-15 09:45:00,9,996430.76,390.5,999945.215,6.885
2025-04-15 10:00:00,0,999941.76,389.23,999941.76,-0.0
2025-04-15 11:00:00,1,999553.0,389.12,999942.125,0.365
2025-04-15 11:15:00,2,999165.1,388.56,999942.22,1.32
2025-04-15 11:30:00,3,998777.72,388.01,999941.75,1.89
2025-04-15 11:45:00,4,998391.3,387.12,999939.8,2.82
2025-04-15 12:00:00,5,998004.03,387.57,999941.88,1.5
2025-04-15 12:15:00,6,997616.64,387.97,999944.43,3.45
